2024-06-11 07:58:42 status half-configured dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:42 status unpacked dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:42 status half-installed dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:43 status unpacked dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:43 install e2fsprogs:arm64 <none> 1.46.5-2ubuntu1
2024-06-11 07:58:43 status half-installed e2fsprogs:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:43 status unpacked e2fsprogs:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:43 install findutils:arm64 <none> 4.8.0-1ubuntu3
2024-06-11 07:58:43 status half-installed findutils:arm64 4.8.0-1ubuntu3
2024-06-11 07:58:43 status unpacked findutils:arm64 4.8.0-1ubuntu3
2024-06-11 07:58:43 install gcc-12-base:arm64 <none> 12-20220319-1ubuntu1
2024-06-11 07:58:43 status half-installed gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:43 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:43 install grep:arm64 <none> 3.7-1build1
2024-06-11 07:58:43 status half-installed grep:arm64 3.7-1build1
2024-06-11 07:58:43 status unpacked grep:arm64 3.7-1build1
2024-06-11 07:58:43 install gzip:arm64 <none> 1.10-4ubuntu4
2024-06-11 07:58:43 status half-installed gzip:arm64 1.10-4ubuntu4
2024-06-11 07:58:43 status unpacked gzip:arm64 1.10-4ubuntu4
2024-06-11 07:58:43 install hostname:arm64 <none> 3.23ubuntu2
2024-06-11 07:58:43 status half-installed hostname:arm64 3.23ubuntu2
2024-06-11 07:58:43 status unpacked hostname:arm64 3.23ubuntu2
2024-06-11 07:58:43 install init-system-helpers:all <none> 1.62
2024-06-11 07:58:43 status half-installed init-system-helpers:all 1.62
2024-06-11 07:58:43 status unpacked init-system-helpers:all 1.62
2024-06-11 07:58:43 install libacl1:arm64 <none> 2.3.1-1
2024-06-11 07:58:43 status half-installed libacl1:arm64 2.3.1-1
2024-06-11 07:58:43 status unpacked libacl1:arm64 2.3.1-1
2024-06-11 07:58:43 install libattr1:arm64 <none> 1:2.5.1-1build1
2024-06-11 07:58:43 status half-installed libattr1:arm64 1:2.5.1-1build1
2024-06-11 07:58:43 status unpacked libattr1:arm64 1:2.5.1-1build1
2024-06-11 07:58:43 install libaudit-common:all <none> 1:3.0.7-1build1
2024-06-11 07:58:43 status half-installed libaudit-common:all 1:3.0.7-1build1
2024-06-11 07:58:43 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-06-11 07:58:43 install libaudit1:arm64 <none> 1:3.0.7-1build1
2024-06-11 07:58:43 status half-installed libaudit1:arm64 1:3.0.7-1build1
2024-06-11 07:58:43 status unpacked libaudit1:arm64 1:3.0.7-1build1
2024-06-11 07:58:43 install libblkid1:arm64 <none> 2.37.2-4ubuntu3
2024-06-11 07:58:43 status half-installed libblkid1:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:43 status unpacked libblkid1:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:43 install libbz2-1.0:arm64 <none> 1.0.8-5build1
2024-06-11 07:58:43 status half-installed libbz2-1.0:arm64 1.0.8-5build1
2024-06-11 07:58:43 status unpacked libbz2-1.0:arm64 1.0.8-5build1
2024-06-11 07:58:43 install libc-bin:arm64 <none> 2.35-0ubuntu3
2024-06-11 07:58:43 status half-installed libc-bin:arm64 2.35-0ubuntu3
2024-06-11 07:58:44 status unpacked libc-bin:arm64 2.35-0ubuntu3
2024-06-11 07:58:44 upgrade libc6:arm64 2.35-0ubuntu3 2.35-0ubuntu3
2024-06-11 07:58:44 status half-configured libc6:arm64 2.35-0ubuntu3
2024-06-11 07:58:44 status unpacked libc6:arm64 2.35-0ubuntu3
2024-06-11 07:58:44 status half-installed libc6:arm64 2.35-0ubuntu3
2024-06-11 07:58:44 status unpacked libc6:arm64 2.35-0ubuntu3
2024-06-11 07:58:44 install libcap-ng0:arm64 <none> 0.7.9-2.2build3
2024-06-11 07:58:44 status half-installed libcap-ng0:arm64 0.7.9-2.2build3
2024-06-11 07:58:44 status unpacked libcap-ng0:arm64 0.7.9-2.2build3
2024-06-11 07:58:44 install libcap2:arm64 <none> 1:2.44-1build3
2024-06-11 07:58:44 status half-installed libcap2:arm64 1:2.44-1build3
2024-06-11 07:58:44 status unpacked libcap2:arm64 1:2.44-1build3
2024-06-11 07:58:44 install libcom-err2:arm64 <none> 1.46.5-2ubuntu1
2024-06-11 07:58:44 status half-installed libcom-err2:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:44 status unpacked libcom-err2:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:44 install libcrypt1:arm64 <none> 1:4.4.27-1
2024-06-11 07:58:44 status half-installed libcrypt1:arm64 1:4.4.27-1
2024-06-11 07:58:44 status unpacked libcrypt1:arm64 1:4.4.27-1
2024-06-11 07:58:44 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.8ubuntu3
2024-06-11 07:58:44 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.8ubuntu3
2024-06-11 07:58:44 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.8ubuntu3
2024-06-11 07:58:44 install libdebconfclient0:arm64 <none> 0.261ubuntu1
2024-06-11 07:58:44 status half-installed libdebconfclient0:arm64 0.261ubuntu1
2024-06-11 07:58:44 status unpacked libdebconfclient0:arm64 0.261ubuntu1
2024-06-11 07:58:45 install libext2fs2:arm64 <none> 1.46.5-2ubuntu1
2024-06-11 07:58:45 status half-installed libext2fs2:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:45 status unpacked libext2fs2:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:45 install libgcc-s1:arm64 <none> 12-20220319-1ubuntu1
2024-06-11 07:58:45 status half-installed libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:45 status unpacked libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:45 install libgcrypt20:arm64 <none> 1.9.4-3ubuntu3
2024-06-11 07:58:45 status half-installed libgcrypt20:arm64 1.9.4-3ubuntu3
2024-06-11 07:58:45 status unpacked libgcrypt20:arm64 1.9.4-3ubuntu3
2024-06-11 07:58:45 install libgmp10:arm64 <none> 2:6.2.1+dfsg-3ubuntu1
2024-06-11 07:58:45 status half-installed libgmp10:arm64 2:6.2.1+dfsg-3ubuntu1
2024-06-11 07:58:45 status unpacked libgmp10:arm64 2:6.2.1+dfsg-3ubuntu1
2024-06-11 07:58:45 install libgpg-error0:arm64 <none> 1.43-3
2024-06-11 07:58:45 status half-installed libgpg-error0:arm64 1.43-3
2024-06-11 07:58:45 status unpacked libgpg-error0:arm64 1.43-3
2024-06-11 07:58:45 install libgssapi-krb5-2:arm64 <none> 1.19.2-2
2024-06-11 07:58:45 status half-installed libgssapi-krb5-2:arm64 1.19.2-2
2024-06-11 07:58:45 status unpacked libgssapi-krb5-2:arm64 1.19.2-2
2024-06-11 07:58:45 install libk5crypto3:arm64 <none> 1.19.2-2
2024-06-11 07:58:45 status half-installed libk5crypto3:arm64 1.19.2-2
2024-06-11 07:58:45 status unpacked libk5crypto3:arm64 1.19.2-2
2024-06-11 07:58:45 install libkeyutils1:arm64 <none> 1.6.1-2ubuntu3
2024-06-11 07:58:45 status half-installed libkeyutils1:arm64 1.6.1-2ubuntu3
2024-06-11 07:58:45 status unpacked libkeyutils1:arm64 1.6.1-2ubuntu3
2024-06-11 07:58:45 install libkrb5-3:arm64 <none> 1.19.2-2
2024-06-11 07:58:45 status half-installed libkrb5-3:arm64 1.19.2-2
2024-06-11 07:58:45 status unpacked libkrb5-3:arm64 1.19.2-2
2024-06-11 07:58:45 install libkrb5support0:arm64 <none> 1.19.2-2
2024-06-11 07:58:45 status half-installed libkrb5support0:arm64 1.19.2-2
2024-06-11 07:58:45 status unpacked libkrb5support0:arm64 1.19.2-2
2024-06-11 07:58:45 install liblz4-1:arm64 <none> 1.9.3-2build2
2024-06-11 07:58:45 status half-installed liblz4-1:arm64 1.9.3-2build2
2024-06-11 07:58:45 status unpacked liblz4-1:arm64 1.9.3-2build2
2024-06-11 07:58:45 install liblzma5:arm64 <none> 5.2.5-2ubuntu1
2024-06-11 07:58:45 status half-installed liblzma5:arm64 5.2.5-2ubuntu1
2024-06-11 07:58:45 status unpacked liblzma5:arm64 5.2.5-2ubuntu1
2024-06-11 07:58:45 install libmount1:arm64 <none> 2.37.2-4ubuntu3
2024-06-11 07:58:45 status half-installed libmount1:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:45 status unpacked libmount1:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:45 install libncurses6:arm64 <none> 6.3-2
2024-06-11 07:58:45 status half-installed libncurses6:arm64 6.3-2
2024-06-11 07:58:45 status unpacked libncurses6:arm64 6.3-2
2024-06-11 07:58:45 install libncursesw6:arm64 <none> 6.3-2
2024-06-11 07:58:45 status half-installed libncursesw6:arm64 6.3-2
2024-06-11 07:58:45 status unpacked libncursesw6:arm64 6.3-2
2024-06-11 07:58:45 install libnsl2:arm64 <none> 1.3.0-2build2
2024-06-11 07:58:45 status half-installed libnsl2:arm64 1.3.0-2build2
2024-06-11 07:58:45 status unpacked libnsl2:arm64 1.3.0-2build2
2024-06-11 07:58:45 install libpam-modules:arm64 <none> 1.4.0-11ubuntu2
2024-06-11 07:58:45 status half-installed libpam-modules:arm64 1.4.0-11ubuntu2
2024-06-11 07:58:46 status unpacked libpam-modules:arm64 1.4.0-11ubuntu2
2024-06-11 07:58:46 install libpam-modules-bin:arm64 <none> 1.4.0-11ubuntu2
2024-06-11 07:58:46 status half-installed libpam-modules-bin:arm64 1.4.0-11ubuntu2
2024-06-11 07:58:46 status unpacked libpam-modules-bin:arm64 1.4.0-11ubuntu2
2024-06-11 07:58:46 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2024-06-11 07:58:46 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2024-06-11 07:58:46 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2024-06-11 07:58:46 install libpam0g:arm64 <none> 1.4.0-11ubuntu2
2024-06-11 07:58:46 status half-installed libpam0g:arm64 1.4.0-11ubuntu2
2024-06-11 07:58:46 status unpacked libpam0g:arm64 1.4.0-11ubuntu2
2024-06-11 07:58:46 install libpcre2-8-0:arm64 <none> 10.39-3build1
2024-06-11 07:58:46 status half-installed libpcre2-8-0:arm64 10.39-3build1
2024-06-11 07:58:46 status unpacked libpcre2-8-0:arm64 10.39-3build1
2024-06-11 07:58:46 install libpcre3:arm64 <none> 2:8.39-13build5
2024-06-11 07:58:46 status half-installed libpcre3:arm64 2:8.39-13build5
2024-06-11 07:58:46 status unpacked libpcre3:arm64 2:8.39-13build5
2024-06-11 07:58:46 install libprocps8:arm64 <none> 2:3.3.17-6ubuntu2
2024-06-11 07:58:46 status half-installed libprocps8:arm64 2:3.3.17-6ubuntu2
2024-06-11 07:58:46 status unpacked libprocps8:arm64 2:3.3.17-6ubuntu2
2024-06-11 07:58:46 install libselinux1:arm64 <none> 3.3-1build2
2024-06-11 07:58:46 status half-installed libselinux1:arm64 3.3-1build2
2024-06-11 07:58:46 status unpacked libselinux1:arm64 3.3-1build2
2024-06-11 07:58:46 install libsemanage-common:all <none> 3.3-1build2
2024-06-11 07:58:46 status half-installed libsemanage-common:all 3.3-1build2
2024-06-11 07:58:46 status unpacked libsemanage-common:all 3.3-1build2
2024-06-11 07:58:46 install libsemanage2:arm64 <none> 3.3-1build2
2024-06-11 07:58:46 status half-installed libsemanage2:arm64 3.3-1build2
2024-06-11 07:58:46 status unpacked libsemanage2:arm64 3.3-1build2
2024-06-11 07:58:46 install libsepol2:arm64 <none> 3.3-1build1
2024-06-11 07:58:46 status half-installed libsepol2:arm64 3.3-1build1
2024-06-11 07:58:46 status unpacked libsepol2:arm64 3.3-1build1
2024-06-11 07:58:46 install libsmartcols1:arm64 <none> 2.37.2-4ubuntu3
2024-06-11 07:58:46 status half-installed libsmartcols1:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:46 status unpacked libsmartcols1:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:46 install libss2:arm64 <none> 1.46.5-2ubuntu1
2024-06-11 07:58:46 status half-installed libss2:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:46 status unpacked libss2:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:46 install libssl3:arm64 <none> 3.0.2-0ubuntu1
2024-06-11 07:58:46 status half-installed libssl3:arm64 3.0.2-0ubuntu1
2024-06-11 07:58:46 status unpacked libssl3:arm64 3.0.2-0ubuntu1
2024-06-11 07:58:46 install libsystemd0:arm64 <none> 249.11-0ubuntu3
2024-06-11 07:58:46 status half-installed libsystemd0:arm64 249.11-0ubuntu3
2024-06-11 07:58:46 status unpacked libsystemd0:arm64 249.11-0ubuntu3
2024-06-11 07:58:46 install libtinfo6:arm64 <none> 6.3-2
2024-06-11 07:58:46 status half-installed libtinfo6:arm64 6.3-2
2024-06-11 07:58:46 status unpacked libtinfo6:arm64 6.3-2
2024-06-11 07:58:46 install libtirpc-common:all <none> 1.3.2-2build1
2024-06-11 07:58:46 status half-installed libtirpc-common:all 1.3.2-2build1
2024-06-11 07:58:46 status unpacked libtirpc-common:all 1.3.2-2build1
2024-06-11 07:58:47 install libtirpc3:arm64 <none> 1.3.2-2build1
2024-06-11 07:58:47 status half-installed libtirpc3:arm64 1.3.2-2build1
2024-06-11 07:58:47 status unpacked libtirpc3:arm64 1.3.2-2build1
2024-06-11 07:58:47 install libudev1:arm64 <none> 249.11-0ubuntu3
2024-06-11 07:58:47 status half-installed libudev1:arm64 249.11-0ubuntu3
2024-06-11 07:58:47 status unpacked libudev1:arm64 249.11-0ubuntu3
2024-06-11 07:58:47 install libuuid1:arm64 <none> 2.37.2-4ubuntu3
2024-06-11 07:58:47 status half-installed libuuid1:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:47 status unpacked libuuid1:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:47 install libzstd1:arm64 <none> 1.4.8+dfsg-3build1
2024-06-11 07:58:47 status half-installed libzstd1:arm64 1.4.8+dfsg-3build1
2024-06-11 07:58:47 status unpacked libzstd1:arm64 1.4.8+dfsg-3build1
2024-06-11 07:58:47 install login:arm64 <none> 1:4.8.1-2ubuntu2
2024-06-11 07:58:47 status half-installed login:arm64 1:4.8.1-2ubuntu2
2024-06-11 07:58:47 status unpacked login:arm64 1:4.8.1-2ubuntu2
2024-06-11 07:58:47 install logsave:arm64 <none> 1.46.5-2ubuntu1
2024-06-11 07:58:47 status half-installed logsave:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:47 status unpacked logsave:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:47 install lsb-base:all <none> 11.1.0ubuntu4
2024-06-11 07:58:47 status half-installed lsb-base:all 11.1.0ubuntu4
2024-06-11 07:58:47 status unpacked lsb-base:all 11.1.0ubuntu4
2024-06-11 07:58:47 upgrade mawk:arm64 1.3.4.20200120-3 1.3.4.20200120-3
2024-06-11 07:58:47 status half-configured mawk:arm64 1.3.4.20200120-3
2024-06-11 07:58:47 status unpacked mawk:arm64 1.3.4.20200120-3
2024-06-11 07:58:47 status half-installed mawk:arm64 1.3.4.20200120-3
2024-06-11 07:58:47 status unpacked mawk:arm64 1.3.4.20200120-3
2024-06-11 07:58:47 install mount:arm64 <none> 2.37.2-4ubuntu3
2024-06-11 07:58:47 status half-installed mount:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:47 status unpacked mount:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:47 install ncurses-base:all <none> 6.3-2
2024-06-11 07:58:47 status half-installed ncurses-base:all 6.3-2
2024-06-11 07:58:47 status unpacked ncurses-base:all 6.3-2
2024-06-11 07:58:47 install ncurses-bin:arm64 <none> 6.3-2
2024-06-11 07:58:47 status half-installed ncurses-bin:arm64 6.3-2
2024-06-11 07:58:47 status unpacked ncurses-bin:arm64 6.3-2
2024-06-11 07:58:47 install passwd:arm64 <none> 1:4.8.1-2ubuntu2
2024-06-11 07:58:47 status half-installed passwd:arm64 1:4.8.1-2ubuntu2
2024-06-11 07:58:48 status unpacked passwd:arm64 1:4.8.1-2ubuntu2
2024-06-11 07:58:48 upgrade perl-base:arm64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
